產品名,分數,產品圖片,品牌,分類,評論1,評論2,評論3,評論4,評論5,評論6,評論7,評論8,評論9,評論10
極細持色眉筆,4.4,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_250x250.png,heme,眉筆,手邊旋轉眉筆快用完了，喜歡用極細的眉筆畫出毛流感。 看到越來越優秀的heme出現新產品～  而且打折後才台幣169元 這不買怎麼行呢？ 而且包裝很精緻很美！盒子是靛藍色，字樣燙金，很高級啊～ 非常細一支！比有些需要削的傳統鉛筆還要細餒！  因為價格便宜，一次買了兩支，都很適合深色髮，尤其灰棕色超適合黑,沒有錯，婷又畫完一隻眉筆囉!! 但婷不是完全沒有眉毛啦~只是需要補缺毛以及 想要利用眉型調整大圓臉而已商品介紹~ heme「極細持色眉筆」精準描繪仿真毛流感，給你全天候的完美眉型，1.5mm極細筆芯，精巧描繪眉峰、眉尾，勾勒眉頭毛流，輕鬆製造偽毛流感，此次推出「暖棕、深棕及灰棕」三大色系，依據亞洲髮色,真的超級好畫，個人使用起來比Etude house 的眉筆還好用 畫起來很順也不容易結塊，缺點是它的芯沒有很常 我的使用頻率蠻高，每天早上及午休起來都會用 一隻大概用1至2個月差不多，除了好畫之外也很好卸掉,NONE,NONE,NONE,NONE,NONE,NONE,NONE
液體眉筆,5.2,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/47382/1/_250x250_47382_w_250xh_250xfar_C.jpg,media 媚點,其它眉彩,這是偶然間發現的超好用眉筆！一直以來都是個醜眉人，毛不多、型又醜、沒有眉尾，沒化眉毛真的不敢出門，只要是出門在外，其他部位都可以素，只有眉毛不行，少了眉毛真的差非、常、多！  一開始最先使用的是眉粉再來是眉筆，他們的通病就是很不耐汗+不耐油，偏偏我是大爆汗人+容易出油人，於是眉毛的持久度是我一直以來都,一共有2色，棕色和黑色，我是選擇棕色。它的筆頭彈性適中，很好操作。顏色和我目前髮色很相似。 筆頭出水量也剛好，不易失手。平常我使用液態眉筆都是勾勒眉尾。 今天特別用它來畫全部眉毛，完全沒有再使用其他眉毛產品。 我這一邊的眉毛是有些卷度，毛流也不順，如果沒使用染眉膏定型就會有些雜亂。另外這邊的眉毛就好看,哈囉大家好 今天要來分享的是我的第二生命--眉筆 身為少眉星人 眉筆根本是不可或缺的物品 我可以不畫底妝但是不能不畫眉毛QAQ  這支眉筆真的讓我有種買對了的感覺(甚至有點相見恨晚) 原本以為液態眉筆會很突兀銳利 沒想到畫出來一點都不會太刺眼 我畫眉毛都會加上integrate的四色眉粉的左邊第二格 ,今天要介紹的是媚點液態媚筆深粽色DB  覺得找到好用又快速眉部產品！ 這是我第一次使用液態的眉筆 覺得非常好上手～色號雖是寫深粽 不過實際上比較像說的是灰棕色才對！ 髮色較深可選DB 髮色淺可選BR ㄧ開始使用水會比較多 可先從眉尾補配合眉刷在慢慢往前～～ 怕眉頭太深  ⬇️⬇️⬇️到下午時間超自然的, 原價 230  藥妝店打折的時候一支才 195元而已非常經濟實惠好入手的價格  有兩種顏色 我都買淺咖啡色的    筆尖很細非常好描繪 我覺得針對眉尾部分特別好畫 雖然不暈染 (整天待在辦公室到下班都不會掉) 但是好像沒有防水 會回購 XD   *******2019/12/07******* 今天,這隻算是我的化妝台常備品了，用了快五六隻了吧～ 液態眉筆的顏色很自然，畫出來的線條也很精準， 不太容易畫過頭，液態的也不太會掉妝（除非伸手指去搓） 有用眉粉的人就知道要常補眉毛， 用了這隻以後就再也沒有補眉毛的需求了嘿嘿😌 對化妝新手而言是很好上手的產品。 但我個人還會用睫毛膏加強眉毛的份量感讓整體眉,原本想買眼線液，結果拿錯成液態眉筆 （長得實在太像了嘖嘖....）  可以畫出根根毛流感，非常防水防摩擦。但超級難卸，用萊雅眼唇卸妝液又敷又搓，弄了很久，眼唇液也倒了不少眼皮都要積水了，才勉強搓掉... 照片是卸了四、五回以上的慘況，眼尾還明顯有印子。  有幾次錯拿液態眉筆畫眼線，當晚的卸妝根本是眼皮, 真的可以撐到晚上，連眉尾都在。 皮膚容易出油，早上化完眉毛，通常到下午沒有眉毛眉尾的地方會掉光，但用這支畫，就算到晚上，眉尾也都在。 沾到太多粉底，可能眉筆的水會有點出不來，可以筆尖根部抵著蓋子內側邊緣壓一壓。   手上沒丟的還有這些，media不是最好畫，但是最不掉色。  我買的淺色那隻。,   這隻我就簡單講不廢話了先給大家看他的顏色，其實我推薦大家真的很想買這種液態眉筆呀  我很推薦這支跟integrate那隻新出來的液態筆，這兩隻都是我最常用也認為最適合拿來畫眉毛  media這支液體眉筆說真的是相見恨晚，他是我最後買的液態眉筆才發現原來他好好用  不曉得大家會不會有著跟我這樣相同,用過最持久的眉毛產品之一  能勾勒出俐落有型的眉毛 非常好畫 非常好上手  大部分液體眉筆畫上皮膚時會有墨水暈開的現象 超!級!醜!!!  有的顏色太淡 要上色很多層才會顯色  這款沒有以上缺點 好上色、畫的時候不會暈開很醜  且非常持久!! 如果畫的時候畫錯 抹一抹就掉了 也不會灰灰黑黑一塊  能撐
自轉式眉筆,5.5,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/35020/1/_250x250_35020_w_250xh_250xfar_C.jpg,media 媚點,眉筆,本身眉毛一直都算濃密的，並非是無毛人，所以有一陣子都沒使用過眉筆，而是直接使用染眉膏，但近期一直覺得只使用染眉膏，感覺眉型不夠立體，但眉毛顏色太深又會覺得看起來很兇，不笑的時候很顯臉臭，(本人是臭臉王😤)，決定買了眉筆開始畫起眉毛，選了顏色偏淺的咖啡BR，因為眉毛前端很濃密，所以只畫眉毛也是眉頭畫幾筆,這次使用的顏色是棕色  Before⬆️ 原生的眉毛短短的像柴犬 所以沒比對我來說是生命呀～～～～  After⬆️ 真的是很自然又好推 在使用上沒有出現暈開的狀況 可能本身不是油性肌膚的關係 所以對我來說眉筆只需滑順好推勻就好  有些他牌的眉筆 價格較高 卻非常難畫 我只能跟他說掰掰把它送走了, 第一次認識媚點是學生時期，網友很推他家的粉底霜，價錢可愛又好用，很適合小資女孩👍   這支筆型偏細，但還算好拿握，不過另一端沒有附刷頭，使用完後得另外找刷具順一下眉毛才自然  旋轉頭，筆芯是圓頭的，偏細偏硬，試畫在手上太不容易上色要用點力，但在眉毛上還滿好上色的，不知道什麼原因  這支好像是灰色還深,只擦飾底乳或防曬不太好畫上去，要反覆多畫幾次 但如果有上底妝的話效果很好 買的是深咖，顏色很剛好也不容易結塊,在我心目中第一名的眉筆 至少使用3.4隻以上了 它真的是非常平價又好用而且選擇的顏色也多  像我眉毛都是畫灰色的 曾經試過黑色會感覺長得很兇 所以一直以來我都選灰色 但是開架式的眉筆灰色真的不多 大多都是黑色跟棕色 所以媚點就變成我一直以來使用的品牌了  不過畫眉毛真的是一大挑戰 我畫了這麼多年還是畫,一直以來都是用韓系化妝品的眉筆  好用是好用但不注意就會變成海苔眉  韓系眉筆太顯色了！  所以上網做了一下功課想說試試看  媚點的自轉式眉筆有分兩種-細芯/橢圓芯  我買的是細芯  輕巧感覺旅行袋超不占空間  唯一美中不足的是沒有附眉梳    筆頭粗細剛剛好很好勾勒眉尾  也很好畫出眉毛一根一根的感, 這隻是在康**網路上買的，一隻110，我買media媚點自轉式眉筆灰色，用了一個禮拜，覺得真的好用，上來分享，他的筆芯不會太軟，非常不容易斷，也不會太硬，粗細剛好，希望不會很快就用完，會再回購的一隻眉筆。 ,買過很多支，是便宜好用的眉筆選擇 筆頭還滿細的，而且後面有附眉刷 很適合放在包包裡面隨時補妝用 有時候搭屈臣氏開架彩妝77折真的超便宜~,這支真的好用，以前一開始選的眉筆，化了過沒多久都會紅紅的然後脫皮，感覺超不舒服而且又容易結塊，這支完全不會，頂多就是化太多來回塗抹的時候會有一點點結塊而已，雖然沒有付刷頭，但是cp值算高了，真的好用，且不過敏。," 這隻眉筆是我妹大推,讓我一用成主顧的好物 用過很多種類的畫眉商品就屬這支最合我意  小屈.寶雅特價時我都會手癢 多囤幾支  我選購的顏色是DB顏色是比較深的棕色,圓柱頭,這個系列還有橢圓柱體  這支真的很便宜好用,而且體積小好攜帶  這支畫在手上,很奇怪,很難塗的出顏色 但畫在眉上就很好塗   整體"
極緻完美速型眉筆,5.7,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/75930/1/_250x250_75930.jpg,INTEGRATE 櫻特芮,眉筆,今天久違的來分享使用頻率很高的INTEGRATE眉筆 這系列共有四色，我購入的是跟我髮色相當接近的GY941原本我預期GY應該是灰色，但畫在眉毛上卻有一點偏咖啡色 但因為我的原生髮色本來就帶點咖啡色，所以其實也意外適合值得稱讚的是他的顯色度適中，所以不用太費力就可以上色 而且他的筆頭是2mm的柔軟筆芯,超好用特價不用200的眉筆必須推 這款的筆芯偏細、而且質地偏軟 是可以很輕鬆就上色並且畫出自然無銳利感的眉毛 (平常眉毛風格偏自然平眉  不愛歐美銳利眉) (但也因為是畫面積較多的平眉  大概2個月就用完了) 因為筆頭是細的  所以要畫出毛流感相當適合!! **已經用完轉不出來了所以沒拍到筆芯的樣子 ,  眉筆大王要來說最新上市的  INTEGRATE 絕色魅癮「 完美速型眉筆」  它這支有2mm筆芯可以滑順又延展地描繪根根分明的細緻眉毛  而且它除了包裝外個人覺得他回歸到第一代的樣子  只是筆芯部分比第一代為稍微在軟一點  但是粗細大小非常符合我所想到的眉筆超級好用天呀      首先我買的色號是,"GY941顏色是很深很深的咖啡色,很適合頭髮染深時使用 顯色度夠、筆芯軟硬適中,最喜歡的是它有附眉刷 眉刷在眉筆使用前後都可以順順眉毛   再來說說它的價格,一支才$200,如果遇打折$200都不到 唯一可惜的是台灣沒有賣替換筆芯:(拜託廠商快進替換筆芯~~~~(吶喊) 有次在日本藥妝店發現有賣替換芯",本身是無眉道人 Integrate這隻極緻完美速型眉筆我已經用了快一打吧 好用的原因： 1.開架(用完馬上到附近美妝店購買） 2.CP值高（後頭有附筆刷） 3.顏色選擇性多（染髮、原生髮皆有色號可以挑選） 4.筆芯夠細且軟Q，延展性佳，好嚕，不會在畫時一直卡卡, 在日本時逛藥妝買的~~忘了多少錢~但一定比台灣便宜 買了2支的樣子~~ 也是回台過了一陣子才翻出來使用~~ 容量是0.17G~~隨身包非常好放 因為沒有蓋子~反而方便使用 一轉就能畫眉毛  另一頭有刷毛~完全是外出使用的好利器~!! 非常的好化~~不用擔心不顯色~ 所以下筆時可以輕一點上手~!  能,"  先拍外觀  試色  我現在是用咖啡色那隻，BR666 0.17g ,之前用灰咖色GY941 0.07g ,我比較喜歡右邊那隻，因為筆頭較粗，也比較好畫，畫的也很快，又很持久，容量又多，10個多小時只有眉尾變比較淡而以，蠻持久，不過只有一種顏色  滿分5🌕 持久度:🌕🌕🌕🌕🌕 滑順度:🌕🌕🌕🌕🌕 顯",原本有愛用的專櫃牌眉筆， 但後來覺得品質跟之前比有變差， 才開始在開架找經濟實惠的替代品。 趁藥妝店打77折時一枝才一百多 筆芯很細，畫細部的地方好掌控 上色也很容易。 色號是GY941， 顏色是很自然的深棕色，不會太偏紅。 還是旋轉式的，免去削筆的麻煩， 另一頭還有附眉刷 整個使用起來就是很方便,這支是我的日常愛用眉筆，寬度只有0.2mm很好描繪眉型， 筆芯偏軟，容易上色，後面有附眉刷，刷的時候延展性也不錯！  持久度很好，大熱天流汗或是遇到下大雨的天氣， 出門一整天眉形也都還在。 個人沒有用蜜粉定妝的習慣，可見它真的維持得很好！  BR666顏色偏深棕色，黑髮看起來可能會有點突兀， 可以搭配,會買這支眉筆算是意外 就是在逛屈臣氏想說要買新的眉筆 看到價格滿便宜就買來用看看 沒想到出乎意料的好用!  他的筆芯是細圓形的 所以要勾勒眉型很方便 而且也不會有結塊的問題 自從買了這支眉筆 我上學化妝時間真的有縮短  還有一點很貼心的是 他後面有附眉刷 就不用特別再買一支眉刷啦 雖然我覺得眉刷有點硬
眉毛定型液 eye brow coat,6.1,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_250x250.png,DAISO 大創,其它眉彩, 完全是相見恨晚的產品阿 本人眉毛真的很少很少 所以畫眉這一件事真的對我來說是人生大事 但油性肌膚的我 每次畫完眉筆都很容易掉色每次全妝出門 回到家其他妝容都很完整 就是眉毛會消失 真的令人很煩躁    雖然耳聞這一罐 [DAISO 大創] *眉毛定型液的厲害 不過他也太難購買了 每次去我家附近的大創,這款眉毛雨衣來自於大創百貨  大創真的是一個非常好逛的地方  尤其是對我們這種愛買的女子來說  而這一款是朋友向我推薦  我本身有斷眉的問題  因此  畫眉毛對我來說很重要  但往往到了下午  眉毛就會跟你說bye bye  不管用了眉粉或是眉筆都一樣的結果  先來看外觀  很像是指甲油的感覺  擦上, 這瓶不起眼的39元商品已經是畫眉毛的人必備的神奇小物了吧! 每次逛大創大家會補貨什麼商品呢? 我必補的有女性專用洗滌、粉撲洗滌劑、跟這瓶眉毛雨衣! 它的外型就像迷你型的指甲油，透明霧面瓶身，搭配銀白色蓋子，看起來小巧可愛有質感。  它刷起來是100%透明的，剛刷上去時要讓它乾一下，大概需要10幾秒的,自己本身的眉毛是濃黑粗密的 所以也沒在關注這款產品 是好朋友大力推薦這款好用都搶不到 剛好去逛街有貨就順便幫忙買 做造型時怕人客眉彩掉光就帶了兩瓶紙質背板透明塑膠殼裝 瓶身為霧面正方玻璃瓶裝銀白色旋轉瓶蓋 轉開像是指甲油刷毛狀刷頭 內容為透明水液狀質地眉彩畫完後再少量塗刷在眉毛上 感覺可以延長眉尾掉妝,這罐完全是在大創閒晃無心之下黑白買的東西 結果沒想到它竟然 ! 真的 ! 超～好～用～    產品本人長這樣↑↑↑  滿像指甲油的，聞起來的味道也有點像 不過是在塗的時候會有味道。 乾得很快 乾掉之後就不會有味道，所以覺得氣味上不影響使用     使用方式很簡單， 順著眉毛的形狀畫上薄薄ㄧ層就可以了。,誰說便宜沒好貨呢??A__A至從知道大創出了這麼厲害的商品後~就常常去桃園看看~ 但之前都一直沒有進貨Q_Q誰知道無意在去逛後~發現有一大面櫥窗全都是這款防水膏~~ 心想進那麼多那也不需要再屯貨拉♥   這款刷頭根本就是指甲油刷頭來者~~味道呢~我覺得跟指緣油差不多味道(不刺鼻)   這是白天上的妝(,這一款眉毛雨衣 在網路上非常的火紅 連一些在國外的華人YOUTUBER 也常常推薦 但我是花了很大一番的功夫才找到他 因為每一家的大創賣的商品並不一致   有的是沒有這樣商品 有的是賣光缺貨中 我差一點要託朋友從日本帶回  但目前似乎沒這個問題了~~~大家真的很幸運!!! 我覺得這是人人必備的一樣商品,原本逛大創的時候看到這個產品時很不以為意 想說這麼便宜的東西可以多好用？ 抱持著反正才39元買來試試看的心態購入 沒想到使用了之後覺得驚為天人 剛好使用的時間是在夏天 現在的夏天真的非常熱 對機車族的我來說真的很怕出門騎到目的地 我的妝也都掉了  不過使用這款眉毛雨衣 不管是炎熱的夏天還是下水 眉毛還,以下簡單整理我的使用心得 1.超持久 2.好塗勻 3.酒精味有點重(對酒精過敏的人可能不適用) 4.CP值衝破天花板的高  相信這瓶眉毛雨衣早已聲名遠播 正評早就多到沒什麼參考價值了 所以這邊就來分享一下我使用上的問題吧~  其實它在使用上也不是完全非常順手 起初使用都隨意刷刷 常常把眉尾的顏色刷到溶,這產品對我來說根本就是救星！  眉毛對女生來說是很重要的，因為一個好的眉毛可以影響一整個人的精神！  由於我超會流汗、超會出油，  一不小心用手摸到畫好的眉毛，就一定會讓我的眉毛斷尾  但自從使用眉毛定型液之後，就算臉出油出汗，手還不小心摸到眉毛，我的眉毛一樣還在！ （但出汗出油太嚴重的話，會讓塗過定
3inONE霧感眉筆,5.5,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/83724/1/_250x250_83724.jpg,JOURMOE,眉筆,在代理商經營的蝦皮商城購入 因為是盒損品以非常便宜的價格入手（3支199元） 想說沒用過剛好特價就買來試試看！ 因為頭髮都染比較亮的顏色，所以買比較淺的01號色  筆芯是我最愛的橢圓形，這樣更容易畫出自然好看的眉型 蕊心部分柔軟不易斷，質地滑順，顯色度高！  眉粉刷頭是長得像義美小泡芙的海綿頭 顯色度,JOURMOE 3inONE霧感眉筆  這款是很久之前收到的試用品 （沒記錯的話應該是17還18年收到的） 謝謝ur及品牌提供試用一直沒有寫心得是因為抽到的顏色#1淺咖啡（米黃色x偏黃咖啡色） 顏色真的太黃了😂 跟髮色不太搭  加上當時抽獎是沒有規定期限內分享心得⋯這陣子染髮顏色比較明顯一點的棕色 所,這次試用的是JOURMOE的3inONE霧感眉筆 拿到的顏色是02 自然咖 !   結合眉刷、眉筆及眉粉的3in1眉筆， 自然咖眉筆部分是屬於偏粉的咖啡色，眉粉則是摩卡色，適合髮色較深的人!  眉筆是屬於圓柱狀的，柔順好上色，輕輕勾勒眉型即可 眉刷的部分較柔軟，不像有些眉刷刷了真的眉毛會痛Q_Q  上,很開心抽到這次的試用~ 這種一品完妝的產品真的是太適合我了!!! 眼彩筆也是超級好用!!眼彩筆心得看這邊  除了省時 同時也是旅行好夥伴 : )   因為我手上有類似的產品 EXCEL眉筆 我覺得這隻眉筆不比EXCEL差唷! 也是相當好用  最大不同之處是 EXCEL 比較清淡 眉粉也是淡淡的 JOU, 我試用的顏色是02:自然咖  這款眉筆是刷子、眉筆加上眉粉的組合，在使用上有一定的方便性，     然後他眉筆是類似橢圓形的，右邊2個是眉筆的效果，可以畫粗畫細，最左邊是眉粉的顏色，  先獻上素眉    然後是使用眉筆畫上，   接著使用眉粉補上顏色   整體來說，使用方式蠻方便的， 雖然眉粉不是我, 久違的ur試用文啊⋯ 這次要分享的是 [JOURMOE] 3inONE霧感眉筆的淺咖啡色   外觀是好可愛的粉紅色 看似是一隻單純的眉筆 但其實大有玄機 頭跟尾是眉刷及眉筆 中間打開是眉粉 一筆3用非常快速以及方便完成眉妝  眉筆及眉毛的顏色是淺咖啡色 適合淺髮色及亮髮色 成分還含有水解膠原蛋白、洋, 感謝urcosme!第一次抽到很高興！  這隻有三頭，平常之前買的都沒有三頭很特別。  筆的那頭對我來說有點不好上色。  個人習慣買畫出來很顯色的哈哈！  不過眉粉頭十分好上滿開心的而且上色的很自然！  雖然自己有染髮原本還怕這顏色還是太淺，結果意外合適！  顏色符合髮色，畫完也自然滿喜歡的！  持, 感謝Urcosme試用品❤️ 早就觀望已久的JOURMOE也有新出三合一眉筆了， 迫不及待來用看看～   全部都拆開來拍照有種可愛的感覺！  我選的色號是自然咖， 比較偏灰色系， 適合髮色沒那麼淺的女孩兒們來用～   不得不說，眉筆真的很好畫， Hen滑順～～～～～～ 原本以為這個沒那麼扁的筆芯會不,"這次試用的是Jourmoe的3inONE霧感眉筆!! 老實說在我拿到試用之前完全都沒有注意過這個品牌, 本來之前一度想去買excel的眉筆來試試看, (因為這種三合一的設計實在是太方便了阿阿,出門只要帶一支就好了超適合懶人!) 沒想到就先收到了Jourmoe的試用!!         這次我拿到的是淺"," 先前在日本玩的時候就有看到這款三合一眼彩筆,但覺得有點小貴所以買不下手 感謝Urcosme&JOURMOE提供這次試用機會，可以完成我的小小夢想  這次挑的是3inONE霧感眉筆02-自然咖(摩卡色*偏粉咖啡色)   構造簡單,先用刷子把眉毛梳順    再用眉筆勾勒形狀  最後補上眉粉,看起來更自然"
完美特調眉彩膏n,4.3,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/93471/1/_250x250_93471.jpg,INTEGRATE 櫻特芮,染眉膏, 在日本嘗試弄頭髮，一直想要如何溝通眉毛一起染這件事…後來想到就算染了也是一個月就一樣黑了；走在日本街頭…那日本人眉毛是怎麼有顏色的呢？  於是開始看起日本美妝YouTuber...發現！！！她們就是用染眉膏打造精緻妝容的！！  比睫毛膏短小一點，我買的是BR773   以上兩張是官網來的，給大家參考,"從二十多歲接觸彩妝，一路摸索過來，了解自己的風格跟需求後，我的的彩妝項目就是：粉底，眉毛，腮紅，修容，唇彩，睫毛膏則是看心情現在已經幾乎不使用了。 眼影是因為自己的""純正""單眼皮，不管怎麼畫永遠都是被眼皮吃掉，如果硬要露出來就必須畫非常大面積的眼影，而這樣又十分不符合自己的風格。眼線則是因為要畫在眼皮",之前使用的[MAYBELLINE 媚比琳] 3D球型染眉膏停產了，之前是趁特價時囤了3支，用完臨時沒得用 好幾天，也不知要改買哪一家，業力引爆爆買3支各不同品牌來試試。  看別人的推薦的牌子雖然心裡有數大概是哪幾支，但又很難選擇出唯一一支，原先預定名單大概是EXCEL / KISS ME / INTE,想說來與眉筆有點不一樣的方式 買了眉彩膏來玩 也看了其他染眉膏，反正就先試試 雖然有預感會不可以😂   *輕巧攜帶方便 *非常顯色 *不好控制 *不算貴，約，約150~250內看折扣  整體來說是不會再嘗試的東西哈哈 附上MOMO的產品示意圖 可以說我是色號買錯了 695這個真的是非常深色阿 本人是屬,逛了逛寶雅照鏡子時 突然發現我眉毛好黑喔！😂 臨時起意買眉彩膏🤩 試了INTEGRATE的幾個顏色  覺得BR671(紅棕色）跟BR773(灰棕色） 顏色不錯是喜歡的又不會太突兀 喔～對了 這支裡面帶有微亮片感 架上貼心的標示BR671試合深髮色 BR773適合淺一點的顏色 自以為覺得有染髮應該選淺一,INTEGRATE 的染眉膏算是C/P值很高的商品，便宜又好用  我覺得它還滿好上手的，跟KISS ME 的染眉膏比起來，我比較喜歡INTEGRATE的  不過這兩個牌子都好用，都是開架染眉膏的好選擇雖然它的刷頭比較偏大，但我覺得不太會塗到皮膚上，可以有效的沾在眉毛上  我買的色號BR796，適合有染, 共有5色，由深棕色~淺棕色都有。   它的質地很輕，上眉後完全沒有厚重感。但是沒法讓毛流方向改變，無法完成立體眉感。若多刷一層眉毛的粉感會變很明顯。 ,NONE,NONE,NONE
Dipbrow,4.4,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_250x250.png,ANASTASIA BEVERLY HILLS,染眉膏,這罐眉膠真的超好用，超顯色又防水，使用也非常滑順不卡眉毛！一個住美國的朋友推薦我入坑，發現用了真的回不去了XDDD 第一次用的眉膠是MAYBELLINE時尚3D立體雙效眉彩盤，覺得非常不好用，超級卡眉毛，不容易畫均勻... 但用了Anastasia Beverly Hills真的讓我大改觀！    色,ABH的眉膠也算是蠻有名的產品 雖然我自己用眉筆都畫得不是很好了 但是我還是買了 (汗 這款眉膠是真的很容易上色 而且可以畫出比較俐落的眉毛 畫得好的話 是真的很好看 但是我就算用眉刷 我也很容易化的歪歪 遠看勉強可以 但是近看就會看到線條都是歪歪扭扭的XD 不過這不是眉膠的問題 是我的問題 應為我用,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Saemmul Artlook Eyebrow,3.5,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_250x250.png,theSAEM,眉筆,샘물 아트룩 아이브로우 05 내추럴 브라운   theSAEM _ Saemmul Artlook Eyebrow 藝術家自然眉筆很久沒有使用眉筆，大部分我都是用三四格的那種眉餅，現階段最鍾愛KISSME四色眉彩 CIAO/CIAO - [KISSME開架] 深邃美眉四色眉彩餅 #02 這支眉筆的,之前買一支覺得太好用了 所以這次買了三支 我是在蝦皮美妝搬運工買的 49元挺便宜的 用起來也不心疼 三角形的也很好描繪眉型不太結塊 我看賣場銷售量也挺高 不知道為什麼沒什麼心得 哈哈 我個人覺得cp值比etude house高 不過如果經濟允許的話還是植村秀的武士刀最好畫啦,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
就是有型立體眉彩盤,3.8,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/86648/1/_250x250_86648.jpg,RIMMEL 倫敦芮魅,眉粉,購入自品牌網路商店特價99元有兩盤 是不是超便宜 本來對他沒有期待  目前只有使用眉粉的部分 覺得很不錯 自然好上手～ , 誤打誤撞買了這一盤，我沒有染髮髮色偏深棕，所以選擇的色號是接近髮色的深棕色003。  我先用眉膠勾勒形狀，再用眉粉填色暈染，眉毛看起來比較沒有那麼銳利（我不喜歡太銳利的眉毛，看起來不自然）。附的刷具小巧但堪用，還不錯。整體來說還蠻喜歡這一盤眉彩，顏色又很襯髮色、喜歡！ ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
立體柔霧眉彩盤 EYEBROW POWDER,4.3,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/92672/1/_250x250_92672.jpg,VISEE,眉粉, 眉粉去年6月才補過VISEE貨， 今年再補了KATE的貨， 長期購買KATE只是為了那支小刷具， 對我來說真的~好~好~用， VISEE的刷子頭為扁扁的還有一點斜， 是為了能掌握眉尾的流線， 之前VISEE的眉粉一盒裡面有四色， 我買了綠色和紅色的， 這次上市的變更為三色， 刷具也和KATE相同了呢,以前對眉毛不是很注重的我，最近發現眉毛真的是妝容精緻的重點之一。  失心瘋買了非常多畫眉毛的產品， 這盤我在之前就因為評價不錯買一盤直接放著...(當時不是不好用是沒在畫)， 後來又再買一盤，色號為BR-1。我的髮色沒有染但沒有那麼黑。有點偏黑棕色，這盤很適合我。 附的刷子很好用很好上色，最深色的部份,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
極細防水抗暈仿真眉筆 Pro Slim Brow Pencil #Natural Brown,4.3,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/98475/1/_250x250_98475_20201012035304MRcCSFnwiU.jpg,Browit 貝奧莉,眉筆,兩邊眉毛不一樣最近很努力在練習手勢把它畫平均一點 會買這支眉筆是某天禮拜六少女人妻的屈臣氏補貨的清單 買回來果然一鳴驚人 這邊有沒有少女人妻的腦粉~歡迎來跟小妞聊天 不知道為什麼她介紹的都很燒而且金色包裝整個很燒 眉毛刷那邊雖然沒有很軟但不也扎 很好暈染很好上手 有點像前一陣小妞愛用的ARDELL很像,買了不會後悔的一支眉筆 非常柔順好畫，且不易斷，自己的工作型態頗長在戶外活動 一整天下來妝都花了，但眉毛還健在 喜歡這一支的原因是個人沒有染髮染眉 本身的眉毛顏色較深，這隻的顏色畫起來很適合 推薦給所有濃眉但需要用眉筆修型的女孩 它真的很好畫！ ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
